,Adipose-InsulinGenes,Adipose-InsulinCorr,Liver-InsulinGenes,Liver-InsulinCorr,Muscle-InsulinGenes,Muscle-InsulinCorr,Intestine-InsulinGenes,Intestine-InsulinCorr,Hypothalamus-InsulinGenes,Hypothalamus-InsulinCorr
103,Slc15a3,0.5775140135239207,Utp3,-0.4922169563085305,Ccl19,0.32142713176782883,LOC100045098,0.2854780528394331,Trip10,0.3113001725521037
104,Lpxn,0.5774743170070449,Hint2,-0.49147001709533245,Stambpl1,0.32130160076422565,Ola1,0.28529114570203545,Tgm2,0.3112721284475438
105,Irs1,-0.5772818273967062,Ywhah,0.49129361049935905,Rab3d,0.32095488682346457,Tmem102,-0.28468885893269674,Gcfc2,0.31125890352459545
106,Tk1,0.5771479446591834,Fam102a,0.49070477986809974,Adcy2,-0.31921165801264784,Tpm4,0.2841367595300864,Ptpn2,-0.31093064436022305
107,Xpot,0.5769470300095902,Abca8a,-0.49055720752745374,Abcc10,-0.31910433151252565,Nudc-ps1,0.28399314782609736,1810032O08Rik,0.3098760639957461
108,Prkdc,-0.576875413119073,Cidea,0.49003927663413416,Serpina1b,0.31894316179486465,Mcf2l,-0.2838770338835693,Hira,0.30973505683753416
109,Timp1,0.5764026847686298,Arpp19,0.4896008162476052,2200001I15Rik,-0.31887264042241603,Lrrk2,0.2835609425469482,Ncald,-0.30944836592736613
110,Dhcr7,0.5763746592961196,Eif3i,-0.48785248651630736,Cpsf2,-0.31869361498949844,Olfr1116,-0.283473090371371,Slc26a10,0.3090346894722854
111,Tmem9b,0.5758158714165728,S100a11,0.48729102795173285,Vim,0.3153234582787867,Polr2j,0.28321001148228686,Klf4,0.30804660554095176
112,Eif4a2,-0.57534691234195,Hps4,-0.4872292019512434,LOC100048554,0.31517401461387057,Cry2,-0.28310311706645674,Pmfbp1,0.3078714753257021
113,Vav3,0.5753094841185712,Olfm3,0.4868115888108805,Olfr1121,-0.31342201092079314,1700010D01Rik,0.2827018884365873,Pole4,-0.3073014801703382
114,Uri1,-0.5751206990259768,Sec23a,0.4867462479588717,Gusb,0.3128876311560345,Lyzl6,-0.2825410655607518,Kcnj2,0.30727079388723455
115,Asf1b,0.5749747448469318,Mlycd,-0.48588226359148917,Arhgef3,0.3127525959515962,1700009P17Rik,-0.2823055404808865,"1700102P08Rik,Usp4",-0.30703040215549526
116,Mgst3,-0.5742814513396276,Nabp1,0.4855319298407958,Fbp2,0.31266267612298465,Adora3,0.2815821811044738,2010315B03Rik,-0.3069935094293315
117,C1qtnf6,0.5741105305123269,Rps5,-0.4836909986299035,Gprc5b,0.3124554992075834,Rrp15,0.2809986639681766,"Serpina3h,Serpina3k,Serpina3m",0.306870034469086
118,Arhgap9,0.5740334527966372,Pan2,-0.48367369614249106,Rab31,0.31200438470388636,Cacng2,0.2808517284668167,Brd2,0.30583648314331513
119,Ankef1,-0.5736569151982985,Ifi27l2b,0.4834854453616246,Adrb3,-0.31190451213697723,Slc6a1,0.2807328273078214,Bbs10,-0.30504996474064133
120,Opn3,-0.5735183557163365,Cdca3,0.4834585978387405,Sirpb1,0.3117886607669647,Olfr1022,-0.27980065820863353,Zfp619,-0.30496807822126476
121,Cfl1,0.5734181033223614,Srxn1,0.4831738866334322,Hoxa4,0.31174457379292997,Etsrp71,0.2786035833612507,Zfp251,0.30468759390913086
122,Ech1,-0.5732554793478538,Cramp1l,-0.4830979381514376,Ppbp,0.3116337138647239,Mb,-0.27772086361753484,Myrip,0.30357998465878727
123,Syne2,-0.5731241422863161,Lipc,-0.48304039280824834,Smarce1,0.3112272937368432,Trit1,0.2777180612548698,Acox3,0.3035307844369078
124,Aldh6a1,-0.5727807800667011,H1f0,-0.4820930471672762,Slamf9,0.3111766126918057,Gstm4,0.27765363040194185,March3,-0.30346659570412754
125,Dera,0.5727373408978795,Sept9,0.4810707691605057,Ak3l1,0.3104715631276946,Fubp1,0.27747215556680405,Rab8b,-0.3032063074254518
126,Tex2,-0.5722474145693774,Hsd17b12,0.48044996910686,C1qtnf2,0.3100746151794801,Runx1,-0.27727782675384144,Lum,0.30231545681358324
127,Retn,-0.572246516459409,Puf60,-0.48004138966497323,Dtnb,-0.30981527960754374,Tex10,0.27718419414323336,"Gm16093,Mtfr1",0.3022707241893834
128,Mms22l,0.5720441990018849,Mug1,-0.47974407154344173,BC048679,0.3093571772416992,Alg3,0.2770771975741668,C030039L03Rik,0.2999039119042314
129,Ikbke,0.5718647505916516,Atox1,0.4796312129525672,Lrrc25,0.30906086341965555,Slc41a3,-0.27656240172754326,Wdr63,-0.29854491077532724
130,Capza1,0.5715975269328419,Cdipt,0.4795275630356767,Stard7,-0.30836835392033796,Enpp4,0.27606725144883854,Darc,-0.29794795842814337
131,Stmn1,0.5713779363005365,Slc25a10,0.47787428664960035,4921521F21Rik,-0.3075665032727692,4930535E21Rik,0.275665983879744,Fam24a,0.29765310531271816
132,Fam210b,-0.5713618259376047,Skp1a,0.4777902368213402,Hemk1,-0.30719022482395975,Oxnad1,0.2756051957078562,Bicc1,0.2975068512792389
133,Arpc1a,-0.5712987708671238,Lrp1,-0.47703878572034475,Cd83,0.30711586977080735,Gatad1,0.27516149715420013,Tle3,0.2974811907428982
134,Klb,-0.5710017795557877,Khk,0.47688303119432135,Ssx2ip,0.3064371277850305,Gcet2,0.2749964540345276,4921504A21Rik,0.29735656018928097
135,Olr1,0.5708283902364376,Mau2,-0.4765821079874484,6430550H21Rik,0.3057713025365143,Birc5,0.27411665136401986,Tfr2,0.29730447238920477
136,Nckap1l,0.5699095631815869,Arid1a,-0.47632180332588003,Slc6a13,0.3055279717963194,Blm,0.2740017887205285,Col6a3,0.29708319005131806
137,Ptprj,0.5698309481016818,Hprt,0.47624958407835494,5430435G22Rik,0.3051746916058411,Zfp212,-0.2739789965321895,Rbp3,0.2970638110554241
138,Mtg1,-0.5695402794567348,Ctps,0.4754470881764751,Dvl2,0.3050465532125519,Lpo,0.2738270454090165,Gna15,-0.29703247337617755
139,Rhbdl1,-0.5692050981761755,Tceal8,0.47328282681016226,Dok2,0.30458786970207,Nlgn1,0.273422438904972,Tmem35,-0.2967356271888264
140,Ahcyl2,-0.5690015146772988,Lhx6,0.4732508251722014,Rab7l1,0.3044087964389209,Jph1,-0.27340468349817454,Dusp7,0.2959291384687101
141,2310010J17Rik,-0.5689756490495393,Kdm3a,-0.4729094824230538,Tmem93,-0.3042989618826034,Dmd,-0.2733778991181318,Gm9897,-0.29548321847128306
142,Actr3,0.5685691643037615,Cyp4f13,-0.4725731176614888,Lrg1,0.30422283703059505,Leng9,-0.2732365533265607,Xrcc3,0.295142594161181
143,Ddx50,-0.5685102632718674,Msra,0.4723737666082338,Cd9,0.30414641647659096,Ube2r2,-0.2729468252866287,Gm4221,0.29510736848289815
